customer_id,snapshot_date,city_tier,age_group,acquisition_channel,loyalty_tier,preferred_category,marketing_consent,recency_days,frequency_180d,monetary_180d,return_rate_180d,avg_discount_pct_180d,avg_rating_180d,category_diversity_180d,ticket_count_90d,negative_ticket_rate_90d,avg_resolution_hours_90d,days_since_signup,sessions_30d,product_views_30d,cart_adds_30d,wishlist_adds_30d,abandoned_carts_30d,email_opens_30d,campaign_clicks_30d,last_visit_days_ago,churn_next_60d,split
CUST00029,2025-09-30,Tier 2,35-44,Referral,,Skin Care,No,18,3,1382.04,0.0,0.2,3.67,2,0,0.0,0.0,473,1,6,0,0,0,0,0,0,0,train
CUST00031,2025-09-30,Tier 1,35-44,Marketplace,,Wellness,No,49,1,672.95,0.0,0.24,4.0,1,0,0.0,0.0,65,6,35,3,0,1,0,0,9,1,train
CUST00034,2025-09-30,Tier 2,25-34,Marketplace,Gold,Hair Care,Yes,50,2,1460.21,0.0,0.185,4.5,2,1,1.0,23.6,353,7,30,4,1,2,8,2,0,0,train
CUST00035,2025-09-30,Tier 2,18-24,Google Search,Silver,Hair Care,Yes,127,1,779.74,0.0,0.12,4.0,1,0,0.0,0.0,367,6,25,2,1,1,8,0,25,1,train
CUST00036,2025-09-30,Tier 3,18-24,Referral,Silver,Makeup,Yes,27,4,1737.33,0.25,0.365,2.75,4,1,0.0,27.9,192,0,0,0,0,0,0,0,14,1,train
CUST00037,2025-09-30,Tier 1,35-44,Influencer,,Makeup,Yes,102,1,435.83,0.0,0.43,3.0,1,0,0.0,0.0,317,5,28,2,0,0,3,0,28,0,train
CUST00038,2025-09-30,Tier 3,35-44,Marketplace,,Baby Care,Yes,51,3,1955.61,0.0,0.317,3.67,3,1,0.0,21.9,250,5,23,1,0,0,5,0,14,0,train
CUST00039,2025-09-30,Tier 2,25-34,Instagram,,Wellness,Yes,15,2,1173.55,0.0,0.21,3.5,2,0,0.0,0.0,309,6,20,1,1,0,3,1,4,0,train
CUST00040,2025-09-30,Tier 3,18-24,Instagram,,Fragrance,Yes,154,1,634.73,0.0,0.38,5.0,1,0,0.0,0.0,295,1,4,0,0,0,1,0,42,1,train
CUST00041,2025-09-30,Tier 3,25-34,Referral,Silver,Hair Care,Yes,54,1,366.99,0.0,0.44,5.0,1,0,0.0,0.0,564,5,19,1,1,0,4,2,22,1,train
CUST00042,2025-09-30,Tier 1,35-44,Organic,Silver,Hair Care,Yes,87,5,4306.0,0.0,0.2,3.4,4,2,0.5,9.65,529,3,13,1,0,0,7,2,14,0,train
CUST00045,2025-09-30,Tier 1,25-34,Referral,,Skin Care,Yes,96,1,413.75,0.0,0.33,4.0,1,0,0.0,0.0,398,6,16,1,1,0,3,1,10,1,train
CUST00046,2025-09-30,Tier 1,25-34,Referral,Gold,Baby Care,Yes,127,1,489.87,0.0,0.13,3.0,1,0,0.0,0.0,161,7,31,4,2,1,10,0,29,1,train
CUST00047,2025-09-30,Tier 1,25-34,Organic,Gold,Baby Care,Yes,204,0,0.0,0.0,0.0,3.5,0,0,0.0,0.0,278,2,9,1,0,0,3,1,36,1,train
CUST00049,2025-09-30,Tier 1,25-34,Marketplace,,Hair Care,Yes,8,1,380.83,0.0,0.47,5.0,1,0,0.0,0.0,32,4,13,1,1,1,3,1,0,0,train
CUST00050,2025-09-30,Tier 3,25-34,Referral,Gold,Hair Care,Yes,0,2,2026.54,0.5,0.3,2.5,2,0,0.0,0.0,250,3,12,1,1,0,3,1,0,0,train
CUST00051,2025-09-30,Tier 3,35-44,Instagram,,Skin Care,Yes,210,0,0.0,0.0,0.0,3.5,0,0,0.0,0.0,597,6,32,2,1,1,8,2,35,1,train
CUST00052,2025-09-30,Tier 1,35-44,Marketplace,Silver,Skin Care,No,55,2,1820.53,0.0,0.19,4.0,2,0,0.0,0.0,376,7,34,2,1,1,0,0,8,1,train
CUST00054,2025-09-30,Tier 1,35-44,Referral,,Hair Care,Yes,6,1,489.85,0.0,0.25,5.0,1,0,0.0,0.0,59,3,12,1,0,0,0,0,0,0,train
CUST00055,2025-09-30,Tier 3,25-34,Marketplace,,Makeup,Yes,3,3,1308.35,0.0,0.247,4.0,2,0,0.0,0.0,268,6,32,2,1,1,7,2,0,0,train
CUST00057,2025-09-30,Tier 2,25-34,Google Search,,Hair Care,Yes,136,1,1713.34,0.0,0.14,3.0,1,0,0.0,0.0,250,7,21,1,0,0,9,1,29,1,train
CUST00060,2025-09-30,Tier 1,25-34,Instagram,,Skin Care,No,145,1,293.22,0.0,0.36,5.0,1,0,0.0,0.0,174,5,26,2,1,0,0,0,20,1,train
CUST00061,2025-09-30,Tier 3,35-44,Referral,,Skin Care,Yes,14,3,1632.4,0.0,0.407,4.67,3,1,1.0,23.6,355,4,19,2,0,1,2,1,15,0,train
CUST00062,2025-09-30,Tier 3,25-34,Referral,Silver,Skin Care,Yes,21,3,2295.98,0.0,0.247,4.67,3,0,0.0,0.0,509,9,30,3,2,1,7,1,0,0,train
CUST00063,2025-09-30,Tier 1,18-24,Influencer,,Fragrance,Yes,216,0,0.0,0.0,0.0,3.5,0,0,0.0,0.0,290,0,0,0,0,0,3,0,24,1,train
CUST00065,2025-09-30,Tier 2,25-34,Referral,,Skin Care,Yes,6,1,1911.67,0.0,0.0,5.0,1,0,0.0,0.0,185,3,18,0,1,0,4,2,0,0,train
CUST00066,2025-09-30,Tier 1,18-24,Instagram,,Hair Care,Yes,320,0,0.0,0.0,0.0,3.5,0,0,0.0,0.0,555,11,35,2,2,1,5,1,60,1,train
CUST00068,2025-09-30,Tier 1,18-24,Google Search,Silver,Baby Care,Yes,346,0,0.0,0.0,0.0,3.5,0,0,0.0,0.0,493,5,18,0,1,0,3,1,60,1,train
CUST00069,2025-09-30,Tier 2,25-34,Instagram,,Hair Care,Yes,29,2,874.47,0.0,0.225,5.0,2,0,0.0,0.0,360,9,48,1,2,0,7,1,0,1,train
CUST00070,2025-09-30,Tier 1,25-34,Organic,Gold,Baby Care,Yes,38,1,542.98,0.0,0.34,2.0,1,0,0.0,0.0,49,1,4,0,0,0,1,0,18,1,train
CUST00071,2025-09-30,Tier 3,25-34,Influencer,,Hair Care,Yes,32,1,2062.5,0.0,0.08,4.0,1,1,1.0,33.0,39,1,3,0,0,0,6,2,12,1,train
CUST00072,2025-09-30,Tier 1,35-44,Organic,,Skin Care,Yes,90,2,1697.84,0.0,0.21,2.5,2,0,0.0,0.0,343,7,26,3,2,2,5,1,26,1,train
CUST00073,2025-09-30,Tier 2,25-34,Google Search,,Hair Care,Yes,8,2,1150.72,0.0,0.235,2.0,2,0,0.0,0.0,637,7,35,1,0,0,4,1,0,0,train
CUST00074,2025-09-30,Tier 2,25-34,Instagram,Platinum,Baby Care,Yes,7,1,824.34,1.0,0.23,3.0,1,1,1.0,29.3,344,14,51,3,2,1,2,1,22,0,train
CUST00075,2025-09-30,Tier 3,45+,Referral,,Fragrance,No,3,3,1287.45,0.0,0.297,4.67,3,0,0.0,0.0,408,10,43,2,1,1,0,0,13,0,train
CUST00076,2025-09-30,Tier 1,45+,Referral,,Wellness,No,20,2,1385.27,0.0,0.22,5.0,1,0,0.0,0.0,144,17,78,7,5,4,0,0,8,0,train
CUST00078,2025-09-30,Tier 2,25-34,Referral,,Hair Care,No,139,1,894.45,1.0,0.42,1.0,1,0,0.0,0.0,143,5,13,1,1,0,0,0,38,1,train
CUST00079,2025-09-30,Tier 2,18-24,Marketplace,Silver,Hair Care,No,191,0,0.0,0.0,0.0,3.5,0,0,0.0,0.0,218,2,8,0,0,0,0,0,31,1,train
CUST00080,2025-09-30,Tier 2,25-34,Organic,Gold,Hair Care,No,50,1,1461.68,0.0,0.11,2.0,1,0,0.0,0.0,509,11,31,4,1,2,0,0,3,0,train
CUST00081,2025-09-30,Tier 3,18-24,Google Search,Silver,Hair Care,No,19,5,3417.32,0.0,0.202,4.0,4,0,0.0,0.0,480,12,63,4,2,1,0,0,0,0,train
CUST00083,2025-09-30,Tier 2,45+,Marketplace,,Skin Care,No,89,2,806.87,0.5,0.335,3.5,1,1,1.0,11.0,194,9,43,2,1,1,0,0,17,1,train
CUST00084,2025-09-30,Tier 1,25-34,Google Search,Silver,Skin Care,Yes,167,1,1273.18,0.0,0.12,5.0,1,0,0.0,0.0,255,11,60,5,1,2,3,1,34,1,train
CUST00085,2025-09-30,Tier 2,18-24,Google Search,,Skin Care,No,14,1,1257.8,0.0,0.2,5.0,1,0,0.0,0.0,41,8,34,0,1,0,0,0,0,1,train
CUST00087,2025-09-30,Tier 1,25-34,Marketplace,,Fragrance,Yes,44,1,933.58,0.0,0.38,5.0,1,0,0.0,0.0,53,1,4,0,0,0,0,0,15,0,train
CUST00089,2025-09-30,Tier 3,25-34,Marketplace,,Hair Care,Yes,165,1,1513.5,0.0,0.4,3.0,1,0,0.0,0.0,498,12,40,1,2,0,6,3,31,1,train
CUST00090,2025-09-30,Tier 1,18-24,Referral,Platinum,Baby Care,No,80,4,1966.31,0.0,0.375,4.5,3,0,0.0,0.0,213,5,25,3,1,1,0,0,36,0,train
CUST00091,2025-09-30,Tier 1,35-44,Instagram,Platinum,Skin Care,No,90,1,311.34,0.0,0.36,4.0,1,0,0.0,0.0,336,9,51,5,2,2,0,0,11,0,train
CUST00095,2025-09-30,Tier 2,25-34,Instagram,,Skin Care,Yes,65,1,372.65,0.0,0.41,4.0,1,1,1.0,5.3,85,10,57,1,2,1,2,1,7,1,train
CUST00097,2025-09-30,Tier 3,45+,Instagram,,Baby Care,Yes,1,3,2946.09,0.0,0.41,2.33,1,0,0.0,0.0,513,0,0,0,0,0,0,0,0,0,train
CUST00098,2025-09-30,Tier 2,18-24,Instagram,,Fragrance,No,184,0,0.0,0.0,0.0,3.5,0,0,0.0,0.0,428,8,34,0,2,0,0,0,49,1,train
CUST00099,2025-09-30,Tier 2,45+,Organic,,Fragrance,Yes,144,2,1471.51,0.0,0.105,5.0,1,0,0.0,0.0,490,4,17,2,1,0,5,2,27,0,train
CUST00101,2025-09-30,Tier 3,35-44,Marketplace,,Baby Care,Yes,108,2,1240.21,0.0,0.255,4.5,2,0,0.0,0.0,594,2,6,1,0,1,0,0,27,1,train
CUST00102,2025-09-30,Tier 2,35-44,Organic,,Skin Care,Yes,83,1,732.65,0.0,0.16,5.0,1,0,0.0,0.0,136,2,11,1,0,0,1,0,7,0,train
CUST00103,2025-09-30,Tier 2,25-34,Marketplace,,Makeup,Yes,21,1,1469.96,0.0,0.08,5.0,1,0,0.0,0.0,27,6,18,2,1,1,4,1,0,0,train
CUST00105,2025-09-30,Tier 3,18-24,Instagram,,Makeup,Yes,46,1,2052.43,0.0,0.18,5.0,1,0,0.0,0.0,153,1,6,0,0,0,3,0,3,0,train
CUST00106,2025-09-30,Tier 3,25-34,Influencer,,Wellness,No,61,1,436.15,0.0,0.24,3.0,1,0,0.0,0.0,513,5,19,1,1,0,0,0,21,1,train
CUST00108,2025-09-30,Tier 3,18-24,Organic,,Skin Care,No,44,1,1074.5,1.0,0.22,1.0,1,1,1.0,18.1,68,5,24,0,0,0,0,0,11,1,train
CUST00110,2025-09-30,Tier 2,35-44,Referral,,Skin Care,No,35,3,2424.8,0.0,0.233,5.0,2,2,0.5,34.9,319,4,15,1,1,0,0,0,8,1,train
CUST00112,2025-09-30,Tier 1,18-24,Marketplace,,Hair Care,No,0,4,2225.98,0.0,0.3,3.75,3,0,0.0,0.0,323,4,15,1,1,0,0,0,0,0,train
CUST00113,2025-09-30,Tier 1,35-44,Google Search,Silver,Hair Care,No,28,2,1601.31,0.0,0.385,4.0,2,0,0.0,0.0,129,17,65,2,5,0,0,0,2,0,train
CUST00115,2025-09-30,Tier 3,35-44,Instagram,Gold,Skin Care,Yes,159,1,596.54,0.0,0.14,3.0,1,0,0.0,0.0,167,12,51,1,2,0,10,2,23,1,train
CUST00117,2025-09-30,Tier 1,18-24,Marketplace,Silver,Baby Care,No,123,2,1268.88,0.0,0.28,3.5,2,0,0.0,0.0,533,2,7,1,0,0,0,0,27,1,train
CUST00118,2025-09-30,Tier 3,25-34,Referral,Silver,Baby Care,Yes,27,1,689.56,0.0,0.18,5.0,1,0,0.0,0.0,45,2,9,1,0,0,0,0,1,0,train
CUST00119,2025-09-30,Tier 1,25-34,Instagram,,Skin Care,No,69,1,2019.98,0.0,0.25,4.0,1,1,0.0,6.0,357,12,63,2,2,1,0,0,1,0,train
CUST00120,2025-09-30,Tier 2,25-34,Referral,Silver,Fragrance,No,26,1,261.95,0.0,0.27,5.0,1,0,0.0,0.0,30,6,21,3,0,1,0,0,5,0,train
CUST00122,2025-09-30,Tier 2,25-34,Google Search,Gold,Hair Care,Yes,106,2,2048.93,0.0,0.36,4.0,2,0,0.0,0.0,189,10,39,1,2,1,10,4,30,1,train
CUST00123,2025-09-30,Tier 2,18-24,Google Search,Silver,Baby Care,No,102,4,2117.52,0.0,0.335,4.0,3,0,0.0,0.0,301,2,6,1,0,1,0,0,23,0,train
CUST00124,2025-09-30,Tier 2,25-34,Marketplace,,Makeup,Yes,194,0,0.0,0.0,0.0,3.5,0,0,0.0,0.0,280,5,18,2,1,1,0,0,43,1,train
CUST00125,2025-09-30,Tier 2,18-24,Referral,,Hair Care,Yes,8,2,1698.4,0.0,0.395,3.5,2,0,0.0,0.0,99,0,0,0,0,0,5,1,0,0,train
CUST00126,2025-09-30,Tier 3,18-24,Instagram,Silver,Fragrance,Yes,57,1,919.95,0.0,0.6,3.0,1,0,0.0,0.0,480,5,30,1,1,1,3,0,3,1,train
CUST00129,2025-09-30,Tier 1,25-34,Google Search,,Wellness,No,83,3,3369.08,0.333,0.313,2.33,2,1,0.0,15.8,187,7,34,3,2,2,0,0,2,0,train
CUST00130,2025-09-30,Tier 1,25-34,Organic,Gold,Skin Care,Yes,88,1,1272.47,0.0,0.48,4.0,1,0,0.0,0.0,258,9,36,1,0,0,5,0,12,0,train
CUST00131,2025-09-30,Tier 3,35-44,Influencer,,Hair Care,Yes,67,1,2157.15,0.0,0.17,2.0,1,0,0.0,0.0,411,4,12,2,1,1,5,0,14,1,train
CUST00132,2025-09-30,Tier 2,35-44,Organic,,Skin Care,Yes,117,1,1621.76,0.0,0.18,3.0,1,0,0.0,0.0,537,1,3,0,0,0,6,0,24,1,train
CUST00136,2025-09-30,Tier 2,35-44,Instagram,Gold,Skin Care,No,71,1,514.9,0.0,0.3,5.0,1,0,0.0,0.0,119,7,40,2,1,1,0,0,15,1,train
CUST00138,2025-09-30,Tier 2,45+,Instagram,,Makeup,Yes,61,1,905.11,0.0,0.46,3.0,1,0,0.0,0.0,163,5,14,0,1,0,3,1,24,0,train
CUST00143,2025-09-30,Tier 2,18-24,Google Search,Silver,Makeup,Yes,32,3,4028.8,0.0,0.14,4.33,3,0,0.0,0.0,580,5,23,1,1,1,2,1,9,0,train
CUST00146,2025-09-30,Tier 2,35-44,Instagram,Silver,Makeup,Yes,108,1,986.21,0.0,0.31,5.0,1,0,0.0,0.0,370,4,15,1,1,0,5,1,30,0,train
CUST00147,2025-09-30,Tier 3,45+,Influencer,Platinum,Makeup,Yes,84,3,2809.32,0.0,0.183,3.33,2,0,0.0,0.0,183,1,3,0,0,0,0,0,29,0,train
CUST00148,2025-09-30,Tier 2,35-44,Instagram,,Skin Care,Yes,4,3,1990.51,0.0,0.25,3.67,3,0,0.0,0.0,460,5,21,2,0,1,2,1,8,0,train
CUST00149,2025-09-30,Tier 3,18-24,Instagram,,Makeup,Yes,8,1,787.94,0.0,0.2,5.0,1,0,0.0,0.0,74,8,21,3,1,2,2,0,0,0,train
CUST00150,2025-09-30,Tier 2,25-34,Marketplace,,Fragrance,Yes,45,2,1008.65,0.0,0.375,4.0,2,0,0.0,0.0,314,6,21,1,1,0,5,2,7,0,train
CUST00151,2025-09-30,Tier 2,35-44,Google Search,,Wellness,Yes,62,3,2844.17,0.0,0.173,3.33,2,0,0.0,0.0,582,7,31,3,1,2,5,0,4,0,train
CUST00152,2025-09-30,Tier 3,18-24,Google Search,Silver,Baby Care,Yes,46,3,2730.26,0.0,0.367,3.33,2,3,1.0,37.17,382,19,82,4,1,3,7,3,7,0,train
CUST00153,2025-09-30,Tier 3,25-34,Instagram,Gold,Skin Care,No,3,1,977.12,0.0,0.37,4.0,1,0,0.0,0.0,19,6,22,2,1,1,0,0,0,0,train
CUST00154,2025-09-30,Tier 2,25-34,Google Search,Gold,Hair Care,Yes,10,4,3935.38,0.0,0.24,3.5,4,0,0.0,0.0,607,8,28,3,2,1,1,0,2,0,train
CUST00155,2025-09-30,Tier 1,25-34,Marketplace,,Makeup,No,2,3,2024.8,0.0,0.397,3.67,2,0,0.0,0.0,213,6,26,2,1,1,0,0,11,0,train
CUST00158,2025-09-30,Tier 3,25-34,Instagram,,Skin Care,Yes,155,1,812.34,0.0,0.25,5.0,1,0,0.0,0.0,236,8,33,4,2,1,6,1,32,1,train
CUST00159,2025-09-30,Tier 2,35-44,Organic,Silver,Makeup,Yes,474,0,0.0,0.0,0.0,3.5,0,0,0.0,0.0,630,0,0,0,0,0,1,0,60,1,train
CUST00161,2025-09-30,Tier 1,25-34,Instagram,Silver,Hair Care,Yes,20,3,1738.05,0.0,0.293,3.33,2,0,0.0,0.0,291,7,41,4,2,2,4,1,0,0,train
CUST00162,2025-09-30,Tier 3,18-24,Instagram,Gold,Hair Care,No,91,2,1194.59,0.0,0.29,3.5,1,0,0.0,0.0,171,2,12,0,0,0,0,0,28,1,train
CUST00163,2025-09-30,Tier 2,25-34,Google Search,Silver,Hair Care,Yes,70,1,275.41,0.0,0.37,4.0,1,0,0.0,0.0,117,3,13,1,1,1,5,2,19,0,train
CUST00164,2025-09-30,Tier 1,25-34,Marketplace,Platinum,Baby Care,No,222,0,0.0,0.0,0.0,3.5,0,0,0.0,0.0,611,1,3,0,0,0,0,0,57,1,train
CUST00166,2025-09-30,Tier 3,35-44,Organic,Silver,Skin Care,Yes,15,1,1269.41,0.0,0.37,4.0,1,1,0.0,22.8,125,1,4,0,0,0,0,0,7,0,train
CUST00167,2025-09-30,Tier 1,25-34,Influencer,,Hair Care,Yes,219,0,0.0,0.0,0.0,3.5,0,0,0.0,0.0,253,0,0,0,0,0,2,1,31,1,train
CUST00168,2025-09-30,Tier 1,25-34,Influencer,Platinum,Makeup,Yes,85,2,2194.93,0.0,0.01,4.5,2,0,0.0,0.0,386,2,11,0,0,0,1,0,29,0,train
CUST00169,2025-09-30,Tier 2,25-34,Referral,Gold,Hair Care,No,222,0,0.0,0.0,0.0,3.5,0,0,0.0,0.0,358,1,3,0,0,0,0,0,45,1,train
CUST00170,2025-09-30,Tier 2,25-34,Google Search,,Skin Care,Yes,9,2,1708.22,0.0,0.22,3.5,1,0,0.0,0.0,558,5,19,2,1,1,0,0,0,0,train
CUST00172,2025-09-30,Tier 3,45+,Instagram,Silver,Fragrance,Yes,8,1,1366.0,0.0,0.39,5.0,1,1,0.0,1.0,633,5,30,1,0,0,5,2,0,0,train
CUST00173,2025-09-30,Tier 1,45+,Referral,,Makeup,No,79,1,225.12,0.0,0.27,3.0,1,0,0.0,0.0,578,10,53,4,1,2,0,0,2,0,train
CUST00174,2025-09-30,Tier 1,45+,Referral,Gold,Wellness,No,86,1,168.97,0.0,0.42,5.0,1,0,0.0,0.0,601,14,58,5,4,3,0,0,24,0,train
CUST00175,2025-09-30,Tier 3,25-34,Referral,,Wellness,Yes,59,2,1378.77,0.0,0.21,1.5,2,0,0.0,0.0,295,5,27,2,0,1,2,0,14,1,train
CUST00176,2025-09-30,Tier 2,25-34,Instagram,,Skin Care,No,37,3,3830.31,0.0,0.343,5.0,3,0,0.0,0.0,169,12,59,5,2,3,0,0,17,0,train
CUST00178,2025-09-30,Tier 1,45+,Marketplace,,Baby Care,Yes,5,2,1583.88,1.0,0.165,2.5,2,2,1.0,13.55,365,10,44,3,3,1,2,0,0,0,train
CUST00179,2025-09-30,Tier 3,45+,Organic,Silver,Baby Care,Yes,38,3,1585.62,0.0,0.443,4.0,2,2,0.5,28.95,124,11,55,1,2,1,5,2,21,0,train
CUST00180,2025-09-30,Tier 2,35-44,Google Search,,Hair Care,No,96,2,1570.85,0.5,0.26,1.5,1,0,0.0,0.0,173,9,29,1,2,1,0,0,18,1,train
CUST00181,2025-09-30,Tier 1,35-44,Referral,Silver,Skin Care,Yes,6,1,1107.73,0.0,0.0,5.0,1,0,0.0,0.0,28,7,28,2,1,1,4,1,0,0,train
CUST00182,2025-09-30,Tier 1,18-24,Referral,,Skin Care,Yes,31,1,305.3,0.0,0.31,4.0,1,0,0.0,0.0,89,12,35,2,2,0,4,0,0,0,train
CUST00185,2025-09-30,Tier 3,35-44,Marketplace,,Wellness,Yes,114,2,866.52,0.0,0.315,4.5,2,0,0.0,0.0,500,11,35,1,1,1,8,1,27,0,train
CUST00186,2025-09-30,Tier 3,18-24,Instagram,Platinum,Hair Care,No,41,1,714.65,0.0,0.33,4.0,1,1,0.0,26.2,86,2,9,1,1,1,0,0,5,0,train
CUST00187,2025-09-30,Tier 2,25-34,Referral,,Skin Care,Yes,149,1,491.11,0.0,0.5,4.0,1,0,0.0,0.0,333,0,0,0,0,0,3,1,17,0,train
CUST00189,2025-09-30,Tier 1,25-34,Referral,,Makeup,Yes,140,1,574.39,0.0,0.32,4.0,1,0,0.0,0.0,589,10,52,4,1,1,4,0,27,0,train
CUST00190,2025-09-30,Tier 2,25-34,Marketplace,,Hair Care,No,6,1,482.88,0.0,0.13,5.0,1,1,1.0,45.4,49,6,16,1,0,1,0,0,5,0,train
CUST00193,2025-09-30,Tier 2,45+,Influencer,,Skin Care,Yes,157,1,424.74,0.0,0.21,5.0,1,0,0.0,0.0,164,3,16,1,1,1,4,2,30,1,train
CUST00195,2025-09-30,Tier 1,18-24,Influencer,,Wellness,No,23,1,654.27,0.0,0.17,5.0,1,1,1.0,37.4,66,5,25,3,0,1,0,0,0,0,train
CUST00196,2025-09-30,Tier 2,45+,Marketplace,,Skin Care,No,24,2,1272.38,0.0,0.28,3.0,2,1,1.0,46.6,148,1,3,0,0,0,0,0,12,1,train
CUST00198,2025-09-30,Tier 1,35-44,Referral,Silver,Makeup,Yes,37,4,4324.83,0.0,0.273,3.5,2,0,0.0,0.0,412,1,3,1,0,1,3,1,6,0,train
CUST00200,2025-09-30,Tier 2,18-24,Instagram,Gold,Wellness,Yes,15,3,3726.66,0.0,0.123,3.67,3,0,0.0,0.0,465,7,28,1,2,0,9,4,2,0,train
CUST00201,2025-09-30,Tier 1,35-44,Organic,,Makeup,Yes,93,1,598.21,0.0,0.14,5.0,1,1,0.0,1.0,589,3,17,1,0,0,1,0,12,1,train
CUST00202,2025-09-30,Tier 1,25-34,Referral,,Skin Care,Yes,141,1,1220.26,0.0,0.33,5.0,1,0,0.0,0.0,144,9,52,5,1,2,2,1,40,0,train
CUST00204,2025-09-30,Tier 1,25-34,Referral,Platinum,Skin Care,No,42,1,519.21,0.0,0.28,3.0,1,0,0.0,0.0,558,17,61,4,5,2,0,0,4,0,train
CUST00205,2025-09-30,Tier 1,18-24,Referral,,Skin Care,Yes,30,3,1548.05,0.0,0.25,3.67,3,0,0.0,0.0,606,13,68,4,4,3,5,0,0,0,train
CUST00206,2025-09-30,Tier 3,35-44,Instagram,Gold,Makeup,Yes,118,2,831.29,0.0,0.375,4.0,2,0,0.0,0.0,541,7,23,1,1,0,6,2,38,1,train
